day,hits,views,bandwidth
2026-08-24,208,146,113163682
2026-08-25,109,101,30934699
2026-08-26,254,211,102407727
2026-08-27,155,129,91596737
2026-08-28,189,169,18059351
2026-08-29,100,90,45094168
2026-08-30,101,99,3512722
