day,hits,views,bandwidth
2026-07-28,146,121,68787171
2026-07-29,84,82,7924149
2026-07-30,97,89,6010726
2026-07-31,74,70,3960834
2026-08-01,129,123,53713719
2026-08-02,248,234,109598619
2026-08-03,229,208,60967416
