day,hits,views,bandwidth
2026-07-18,224,183,57255887
2026-07-19,256,232,133157204
2026-07-20,164,140,60900638
2026-07-21,143,129,17514663
2026-07-22,237,215,85856592
2026-07-23,197,172,22595716
2026-07-24,158,134,63710940
